Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Angola,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2016,21.1,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,End of fieldwork,,2007-2016,Under 5 years old
Angola,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2007,18,Units,%,Reported,Free,,,,,,Other NS 2006-2007,,,End of fieldwork,,2007-2016,Under 5 years old
Angola,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2011,25.9,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2011,,,End of fieldwork,,2007-2016,Under 5 years old
Angola,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2016,21.7,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,End of fieldwork,,2007-2016,Under 5 years old
Angola,Household with insecticide treated net (ITN) and/or indoor residual spraying (IRS) - percentage of households with at least one ITN for every two persons and/or IRS in the past 12 months,Total,2016,12.5,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,End of fieldwork,,2016,Total
Angola,Percentage of households with at least one insecticide-treated mosquito net (ITN),Total,2007,28,Units,%,Reported,Free,,,,,,Other NS 2006-2007,,,End of fieldwork,,2007-2016,Total
Angola,Percentage of households with at least one insecticide-treated mosquito net (ITN),Total,2011,34.5,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2011,,,End of fieldwork,,2007-2016,Total
Angola,Percentage of households with at least one insecticide-treated mosquito net (ITN),Total,2016,30.9,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,End of fieldwork,,2007-2016,Total
Angola,Pregnant women sleeping under ITN - percentage of pregnant women (aged 15-49 years) who slept under an insecticide-treated net the previous night,Female,2007,22,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2006-2007,,,End of fieldwork,,2007-2016,15 to 49 years old
Angola,Pregnant women sleeping under ITN - percentage of pregnant women (aged 15-49 years) who slept under an insecticide-treated net the previous night,Female,2011,25.6,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2011,,,End of fieldwork,,2007-2016,15 to 49 years old
Angola,Pregnant women sleeping under ITN - percentage of pregnant women (aged 15-49 years) who slept under an insecticide-treated net the previous night,Female,2016,23,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,End of fieldwork,,2007-2016,15 to 49 years old
Angola,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Female,2011,22.5,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2011,,,End of fieldwork,,2007-2016,Under 5 years old
Angola,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Female,2016,68.7,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,End of fieldwork,,2007-2016,Under 5 years old
Angola,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Male,2011,20.8,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2011,,,End of fieldwork,,2007-2016,Under 5 years old
Angola,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Male,2016,81.6,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,End of fieldwork,,2007-2016,Under 5 years old
Angola,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Total,2007,5.5,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2006-2007,,,End of fieldwork,,2007-2016,Under 5 years old
Angola,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Total,2011,21.7,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2011,,,End of fieldwork,,2007-2016,Under 5 years old
Angola,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Total,2016,76.7,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,End of fieldwork,,2007-2016,Under 5 years old
Angola,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Female,2016,50.5,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,End of fieldwork,,2016,Under 5 years old
Angola,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Male,2016,51,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,End of fieldwork,,2016,Under 5 years old
Angola,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2016,50.8,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,End of fieldwork,,2016,Under 5 years old
Angola,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Female,2011,27,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2011,,,End of fieldwork,,2011-2016,Under 5 years old
Angola,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Female,2016,33,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,End of fieldwork,,2011-2016,Under 5 years old
Angola,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Male,2011,24.8,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2011,,,End of fieldwork,,2011-2016,Under 5 years old
Angola,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Male,2016,35.5,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,End of fieldwork,,2011-2016,Under 5 years old
Angola,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Total,2011,26,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2011,,,End of fieldwork,,2011-2016,Under 5 years old
Angola,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Total,2016,34.3,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,End of fieldwork,,2011-2016,Under 5 years old
Argentina,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Female,2020,73.2,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2019-2020,,,End of fieldwork,,2020,Under 5 years old
Argentina,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Male,2020,69,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2019-2020,,,End of fieldwork,,2020,Under 5 years old
Argentina,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2020,71.1,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2019-2020,,,End of fieldwork,,2020,Under 5 years old
Armenia,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Female,2016,70.8,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,End of fieldwork,,2010-2016,Under 5 years old
Armenia,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Male,2016,70.9,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,End of fieldwork,,2010-2016,Under 5 years old
Armenia,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2010,54,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2010,,,End of fieldwork,,2010-2016,Under 5 years old
Armenia,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2016,70.9,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,End of fieldwork,,2010-2016,Under 5 years old
Asia and the Pacific,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2022,5.9,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2022,Under 5 years old
Asia and the Pacific,Pregnant women sleeping under ITN - percentage of pregnant women (aged 15-49 years) who slept under an insecticide-treated net the previous night,Female,2022,4.5,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,15 to 49 years old
Asia and the Pacific,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Female,2022,76.1,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Asia and the Pacific,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Male,2022,78,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Asia and the Pacific,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2022,76.9,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Azerbaijan,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2000,1,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2000,,,End of fieldwork,,2000,Under 5 years old
Azerbaijan,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2000,2,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2000,,,End of fieldwork,,2000,Under 5 years old
Azerbaijan,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2000,1,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2000,,,End of fieldwork,,2000,Under 5 years old
Bangladesh,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Female,2011,24.2,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011,,,End of fieldwork,,2011-2019,Under 5 years old
Bangladesh,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Female,2014,54,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2014,,,End of fieldwork,,2011-2019,Under 5 years old
Bangladesh,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Female,2018,24.9,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2017-2018,,,End of fieldwork,,2011-2019,Under 5 years old
Bangladesh,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Female,2019,54.4,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2019,,,End of fieldwork,,2011-2019,Under 5 years old
Bangladesh,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Male,2011,29.7,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011,,,End of fieldwork,,2011-2019,Under 5 years old
Bangladesh,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Male,2014,56.6,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2014,,,End of fieldwork,,2011-2019,Under 5 years old
Bangladesh,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Male,2018,29.5,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2017-2018,,,End of fieldwork,,2011-2019,Under 5 years old
Bangladesh,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Male,2019,56.7,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2019,,,End of fieldwork,,2011-2019,Under 5 years old
Bangladesh,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2011,27,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011,,,End of fieldwork,,2011-2019,Under 5 years old
Bangladesh,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2014,55.4,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2014,,,End of fieldwork,,2011-2019,Under 5 years old
Bangladesh,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2018,27.4,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2017-2018,,,End of fieldwork,,2011-2019,Under 5 years old
Bangladesh,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2019,55.6,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2019,,,End of fieldwork,,2011-2019,Under 5 years old
Belarus,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Female,2019,78.6,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2019,,,End of fieldwork,,2019,Under 5 years old
Belarus,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Male,2019,88.5,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2019,,,End of fieldwork,,2019,Under 5 years old
Belarus,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2019,83.6,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2019,,,End of fieldwork,,2019,Under 5 years old
Belize,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Female,2016,67.7,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2015-2016,,,End of fieldwork,,2016,Under 5 years old
Belize,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Male,2016,73.7,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2015-2016,,,End of fieldwork,,2016,Under 5 years old
Belize,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2016,70.8,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2015-2016,,,End of fieldwork,,2016,Under 5 years old
Benin,IPTp for pregnant women - percentage of women (aged 15-49 years) who received three or more doses of intermittent preventive treatment during antenatal care visits during their last pregnancy,Female,2012,8.8,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011-2012,,,End of fieldwork,,2012-2018,15 to 49 years old
Benin,IPTp for pregnant women - percentage of women (aged 15-49 years) who received three or more doses of intermittent preventive treatment during antenatal care visits during their last pregnancy,Female,2014,12.5,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2014,,,End of fieldwork,,2012-2018,15 to 49 years old
Benin,IPTp for pregnant women - percentage of women (aged 15-49 years) who received three or more doses of intermittent preventive treatment during antenatal care visits during their last pregnancy,Female,2018,13.3,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2017-2018,,,End of fieldwork,,2012-2018,15 to 49 years old
Benin,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2001,7.8,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2001,,,End of fieldwork,,2001-2018,Under 5 years old
Benin,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2006,20,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2006,,,End of fieldwork,,2001-2018,Under 5 years old
Benin,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2012,69.9,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011-2012,,,End of fieldwork,,2001-2018,Under 5 years old
Benin,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2014,72.2,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2014,,,End of fieldwork,,2001-2018,Under 5 years old
Benin,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2018,76.3,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2017-2018,,,End of fieldwork,,2001-2018,Under 5 years old
Benin,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2001,7,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2001,,,End of fieldwork,,2001-2018,Under 5 years old
Benin,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2006,20,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2006,,,End of fieldwork,,2001-2018,Under 5 years old
Benin,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2012,69.5,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011-2012,,,End of fieldwork,,2001-2018,Under 5 years old
Benin,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2014,73.1,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2014,,,End of fieldwork,,2001-2018,Under 5 years old
Benin,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2018,76.3,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2017-2018,,,End of fieldwork,,2001-2018,Under 5 years old
