country,year,ACT_use,ACT,data type
Ghana,1993,NA,NA,DHS
Ghana,1998,NA,NA,DHS
Ghana,2003,NA,NA,DHS
Gambia,2019,NA,0.016425567,DHS
Guinea,1999,NA,NA,DHS
Guinea,2005,NA,NA,DHS
Guinea,2021,NA,0.081777662,DHS
Kenya,1998,NA,NA,DHS
Kenya,2003,NA,NA,DHS
Kenya,2008,NA,0.076894618,DHS
Kenya,2022,NA,0.117046871,DHS
Liberia,2007,NA,NA,DHS
Liberia,2019,NA,0.190478346,DHS
Madagascar,1992,NA,NA,DHS
Madagascar,1997,NA,NA,DHS
Madagascar,2003,NA,NA,DHS
Madagascar,2008,NA,0.009911136,DHS
Madagascar,2016,NA,0.015602676,DHS
Mali,2001,NA,NA,DHS
Mali,2006,NA,NA,DHS
Mali,2012,NA,0.030398779,DHS
Mauritania,2019,NA,0.024978633,DHS
Malawi,2000,NA,NA,DHS
Malawi,2004,NA,NA,DHS
Malawi,2015,NA,NA,DHS
Mozambique,1997,NA,NA,DHS
Mozambique,2003,NA,NA,DHS
Nigeria,1990,NA,NA,DHS
Nigeria,2003,NA,NA,DHS
Nigeria,2021,NA,0.13477559,DHS
Niger,1998,NA,NA,DHS
Niger,2006,NA,NA,DHS
Niger,2012,NA,0.107255331,DHS
Rwanda,1992,NA,NA,DHS
Rwanda,2005,NA,NA,DHS
Rwanda,2007,NA,NA,DHS
Rwanda,2010,NA,0.04097086,DHS
Rwanda,2014,NA,NA,DHS
Rwanda,2019,NA,0.075110058,DHS
Sierra Leone,2016,NA,NA,DHS
Sierra Leone,2019,NA,0.15006629,DHS
Senegal,1992,NA,NA,DHS
Senegal,1997,NA,NA,DHS
Senegal,2005,NA,NA,DHS
Senegal,2006,NA,NA,DHS
Senegal,2008,NA,0.038848026,DHS
Senegal,2012,NA,0.008665704,DHS
Senegal,2015,NA,0.004174295,DHS
Senegal,2019,NA,0.005911861,DHS
Senegal,2020,NA,3.24E-04,DHS
Sao Tome And Principe,2008,NA,0.032874225,DHS
Chad,1996,NA,NA,DHS
Chad,2004,NA,NA,DHS
Chad,2014,NA,0.02087002,DHS
Togo,1998,NA,NA,DHS
Togo,2013,NA,0.085974267,DHS
Tanzania,1991,NA,NA,DHS
Tanzania,1996,NA,NA,DHS
Tanzania,1999,NA,NA,DHS
Tanzania,2004,NA,NA,DHS
Tanzania,2007,NA,0.209261228,DHS
Tanzania,2010,NA,0.360293172,DHS
Tanzania,2011,NA,NA,DHS
Tanzania,2015,NA,0.382103939,DHS
Tanzania,2017,NA,0.323540116,DHS
Uganda,1995,NA,NA,DHS
Uganda,2000,NA,NA,DHS
Uganda,2011,NA,0,DHS
Uganda,2014,NA,0.643532103,DHS
South Africa,1998,NA,NA,DHS
South Africa,2016,NA,0.004552434,DHS
Zambia,1992,NA,NA,DHS
Zambia,1996,NA,NA,DHS
Zambia,2001,NA,NA,DHS
Zambia,2013,NA,0.364260371,DHS
Zambia,2018,NA,0.33725045,DHS
Zimbabwe,1994,NA,NA,DHS
Zimbabwe,1999,NA,NA,DHS
Zimbabwe,2005,NA,0,DHS
Zimbabwe,2010,NA,0.011225359,DHS
Zimbabwe,2015,NA,3.38E-04,DHS
Cameroon,1991,NA,NA,DHS
Kenya,1993,NA,NA,DHS
Comoros,1996,NA,NA,DHS
Mali,1995,NA,NA,DHS
Malawi,1992,NA,NA,DHS
Niger,1992,NA,NA,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
Bangladesh,1993,NA,NA,DHS
Bangladesh,1996,NA,NA,DHS
Bangladesh,2000,NA,NA,DHS
Bangladesh,2004,NA,NA,DHS
Bangladesh,2007,NA,NA,DHS
Bangladesh,2011,NA,1.55E-04,DHS
Bangladesh,2014,NA,0.002951116,DHS
Bangladesh,2017,NA,5.58E-04,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
India,1992,NA,NA,DHS
India,1998,NA,NA,DHS
India,2005,NA,0.0037692,DHS
India,2015,NA,0.01232155,DHS
India,2019,NA,0.010060818,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
Pakistan,1990,NA,NA,DHS
Pakistan,2006,NA,NA,DHS
Pakistan,2012,NA,0.006183658,DHS
Pakistan,2017,NA,0.00233799,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
India,1998,NA,NA,DHS
Yemen,1991,NA,NA,DHS
Yemen,2013,NA,NA,DHS
Indonesia,2002,NA,NA,DHS
Indonesia,2007,NA,NA,DHS
Indonesia,2012,NA,0.002608903,DHS
Indonesia,2017,NA,0.001048419,DHS
Cambodia,2000,NA,NA,DHS
Cambodia,2005,NA,1.41E-04,DHS
Cambodia,2010,NA,NA,DHS
Cambodia,2014,NA,9.49E-04,DHS
Cambodia,2021,NA,0.009198144,DHS
Myanmar,2016,NA,0.002100777,DHS
Philippines,1993,NA,NA,DHS
Philippines,1998,NA,NA,DHS
Philippines,2003,NA,NA,DHS
Philippines,2008,NA,NA,DHS
Philippines,2013,NA,NA,DHS
Philippines,2017,NA,7.96E-04,DHS
Philippines,2022,NA,4.14E-04,DHS
Timor-Leste,2009,NA,0.001722564,DHS
Vietnam,1997,NA,NA,DHS
Vietnam,2002,NA,NA,DHS
Brazil,1991,NA,NA,DHS
Brazil,1996,NA,NA,DHS
Colombia,1990,NA,NA,DHS
Colombia,1995,NA,NA,DHS
Colombia,2000,NA,NA,DHS
Colombia,2005,NA,NA,DHS
Colombia,2010,NA,NA,DHS
Guyana,2005,NA,0,DHS
Guyana,2009,NA,0,DHS
Peru,1991,NA,NA,DHS
Peru,1996,NA,NA,DHS
Peru,2000,NA,NA,DHS
Peru,2008,NA,NA,DHS
Peru,2008,NA,NA,DHS
Honduras,2005,NA,5.10E-04,DHS
Honduras,2011,NA,0,DHS
Nicaragua,1998,NA,NA,DHS
Nicaragua,2001,NA,NA,DHS
Papua New Guinea,2016,NA,0.00746812,DHS
Angola,2001,NA,NA,MICS
Bolivia,2000,NA,NA,MICS
Burundi,2000,NA,NA,MICS
Cameroon,2000,NA,NA,MICS
CAR,2000,NA,NA,MICS
Chad,2000,NA,NA,MICS
Comoros,2000,NA,NA,MICS
Cotedivoire,2000,NA,NA,MICS
DominicanRepublic,2000,NA,NA,MICS
DRCongo,2001,NA,NA,MICS
EquatorialGuinea,2000,NA,NA,MICS
Gambia,2000,NA,NA,MICS
GuineaBissau,2000,NA,NA,MICS
Guyana,2000,NA,NA,MICS
Indonesia,2000,NA,NA,MICS
Kenya,2000,NA,NA,MICS
Lao,2000,NA,NA,MICS
Lesotho,2000,NA,NA,MICS
Madagascar,2000,NA,NA,MICS
Moldova,2000,NA,NA,MICS
Mongolia,2000,NA,NA,MICS
Niger,2000,NA,NA,MICS
Philippines,2000,NA,NA,MICS
Rwanda,2000,NA,NA,MICS
Sao Tome,2000,NA,NA,MICS
Senegal,2000,NA,NA,MICS
SierraLeone,2000,NA,NA,MICS
SudanNorth,2000,NA,NA,MICS
SudanSouth,2000,NA,NA,MICS
Suriname,2000,NA,NA,MICS
Swaziland,2000,NA,NA,MICS
Tajikistan,2000,NA,NA,MICS
TrinidadTobago,2000,NA,NA,MICS
Venezuela,2000,NA,NA,MICS
Burkina Faso,2006,NA,0,MICS
Burundi,2005,NA,0.026685446,MICS
Cameroon,2006,NA,0.008823415,MICS
CAR,2006,NA,0.012608177,MICS
Cuba,2006,NA,NA,MICS
Gambia,2005,NA,0,MICS
GuineaBissau,2006,NA,0.001654125,MICS
Guyana,2006,NA,0,MICS
Ivory Coast,2006,NA,0.020401486,MICS
Jamaica,2005,NA,NA,MICS
Lao,2006,NA,0.00148861,MICS
Mongolia,2005,NA,NA,MICS
Mozambique,2008,NA,NA,MICS
Nigeria,2007,NA,0.01071355,MICS
SierraLeone,2005,NA,0.003232301,MICS
Suriname,2006,NA,NA,MICS
Thailand,2005,NA,NA,MICS
Togo2,2006,NA,0.007202729,MICS
TrinidadTobago,2006,NA,NA,MICS
Vanuatu,2007,NA,NA,MICS
Vietnam,2006,NA,NA,MICS
Yemen,2006,NA,NA,MICS
Bangladesh,2006,NA,NA,MICS
Belize,2006,NA,NA,MICS
