year,country,ACT,data type,ACT_use,data type
2014,Cameroon,NA,NA,0.151,MIC1
2010,Central African Republic,NA,NA,0.095,MIC1
2019,Central African Republic,NA,NA,0.302,MIC1
2010,Chad,NA,NA,0.013,MIC1
2015,Chad,NA,NA,0.1,MIC1
2019,Chad,NA,NA,0.208,MIC1
2005,Congo,NA,NA,0.14,MIC1
2012,Congo,NA,NA,0.167,MIC1
2015,Congo,NA,NA,0.37,MIC1
2016,Côte d'Ivoire,NA,NA,0.641,MIC1
2021,Côte d'Ivoire,NA,NA,0.386,MIC1
2007,Democratic Republic of the Congo,NA,NA,0.021,MIC1
2010,Democratic Republic of the Congo,NA,NA,0.041,MIC1
2014,Democratic Republic of the Congo,NA,NA,0.17,MIC1
2018,Democratic Republic of the Congo,NA,NA,0.419,MIC1
2009,Djibouti,NA,NA,0.222,MIC1
2022,East and Southern Africa,NA,NA,0.697,MIC1
2022,Eastern Africa,NA,NA,0.804,MIC1
2022,Eastern and Southern Africa,NA,NA,0.799,MIC1
2011,Equatorial Guinea,NA,NA,0.441,MIC1
2008,Eritrea,NA,NA,0.046,MIC1
2010,Eswatini,NA,NA,0.197,MIC1
2007,Ethiopia,NA,NA,0.468,MIC1
2006,Gambia,NA,NA,0.002,MIC1
2017,Gambia,NA,NA,0.31,MIC1
2018,Gambia,NA,NA,0.29,MIC1
2020,Gambia,NA,NA,0.467,MIC1
2008,Ghana,NA,NA,0.477,MIC1
2011,Ghana,NA,NA,0.346,MIC1
2018,Ghana,NA,NA,0.101,MIC1
2016,Guinea,NA,NA,0.165,MIC1
2006,Guinea-Bissau,NA,NA,0.038,MIC1
2014,Guinea-Bissau,NA,NA,0.47,MIC1
2019,Guinea-Bissau,NA,NA,0.194,MIC1
2006,India,NA,NA,0.056,MIC1
2016,India,NA,NA,0.085,MIC1
2021,India,NA,NA,0.06,MIC1
2009,Kenya,NA,NA,0.335,MIC1
2010,Kenya,NA,NA,0.513,MIC1
2006,Lao People's Democratic Republic,NA,NA,0.018,MIC1
2012,Lao People's Democratic Republic,NA,NA,0.105,MIC1
2017,Lao People's Democratic Republic,NA,NA,0.039,MIC1
2022,Least developed countries,NA,NA,0.559,MIC1
2020,Liberia,NA,NA,0.412,MIC1
2009,Madagascar,NA,NA,0.052,MIC1
2013,Madagascar,NA,NA,0.061,MIC1
2018,Madagascar,NA,NA,0.285,MIC1
2016,Malawi,NA,NA,0.922,MIC1
2020,Malawi,NA,NA,0.49,MIC1
2010,Mali,NA,NA,0.224,MIC1
2013,Mali,NA,NA,0.19,MIC1
2011,Mauritania,NA,NA,0.064,MIC1
2015,Mauritania,NA,NA,0.082,MIC1
2021,Mauritania,NA,NA,0.19,MIC1
2022,Middle Africa,NA,NA,0.431,MIC1
2007,Mozambique,NA,NA,0.217,MIC1
2011,Mozambique,NA,NA,0.599,MIC1
2018,Mozambique,NA,NA,0.986,MIC1
2009,Namibia,NA,NA,0.31,MIC1
2013,Namibia,NA,NA,0.448,MIC1
2014,Nepal,NA,NA,0.308,MIC1
2011,Nigeria,NA,NA,0.109,MIC1
2017,Nigeria,NA,NA,0.206,MIC1
2018,Pakistan,NA,NA,0.033,MIC1
2018,Papua New Guinea,NA,NA,0.717,MIC1
2020,Rwanda,NA,NA,0.924,MIC1
2009,Sao Tome and Principe,NA,NA,0.428,MIC1
2014,Sao Tome and Principe,NA,NA,0.143,MIC1
2009,Senegal,NA,NA,0.444,MIC1
2011,Senegal,NA,NA,0.261,MIC1
2013,Senegal,NA,NA,0.212,MIC1
2021,Senegal,NA,NA,0.017,MIC1
2005,Sierra Leone,NA,NA,0.023,MIC1
2010,Sierra Leone,NA,NA,0.31,MIC1
2017,Sierra Leone,NA,NA,0.158,MIC1
2022,South Asia,NA,NA,0.054,MIC1
2009,South Sudan,NA,NA,0.506,MIC1
2010,South Sudan,NA,NA,0.082,MIC1
2022,Southeast Asia,NA,NA,0.06,MIC1
2022,Southern Asia,NA,NA,0.054,MIC1
2022,Sub-Saharan Africa,NA,NA,0.562,MIC1
2010,Sudan,NA,NA,0.329,MIC1
2005,Tajikistan,NA,NA,0.002,MIC1
2010,Timor-Leste,NA,NA,0.06,MIC1
2010,Togo,NA,NA,0.282,MIC1
2014,Togo,NA,NA,0.496,MIC1
2015,Uganda,NA,NA,0.867,MIC1
2008,United Republic of Tanzania,NA,NA,0.376,MIC1
2010,United Republic of Tanzania,NA,NA,0.622,MIC1
2012,United Republic of Tanzania,NA,NA,0.613,MIC1
2016,United Republic of Tanzania,NA,NA,0.434,MIC1
2017,United Republic of Tanzania,NA,NA,0.894,MIC1
2011,Viet Nam,NA,NA,0.001,MIC1
2022,West and Central Africa,NA,NA,0.445,MIC1
2022,West and Central Africa,NA,NA,0.44,MIC1
2022,Western Africa,NA,NA,0.473,MIC1
2006,Zambia,NA,NA,0.166,MIC1
2008,Zambia,NA,NA,0.293,MIC1
2010,Zambia,NA,NA,0.762,MIC1
2012,Zambia,NA,NA,0.856,MIC1
2014,Zambia,NA,NA,0.904,MIC1
2019,Zambia,NA,NA,0.338,MIC1
2011,Zimbabwe,NA,NA,0.491,MIC1
2014,Zimbabwe,NA,NA,0.788,MIC1
